listing_id,tower_number,transaction_date,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_ref,transaction_date_parsed,sale_price_num,price_per_sqft
1012,1,01-01-2024,Apartment,12,1160.36,"$300,385.62",Sold,C0027,01-01-2024,300385.62,258.8727809
1015,1,01-01-2024,Apartment,15,782.25,"$208,930.81",Sold,C0097,01-01-2024,208930.81,267.0895622
1021,1,01-01-2024,Apartment,21,756.21,"$218,585.92",Sold,C0113,01-01-2024,218585.92,289.0545219
1030,1,01-01-2024,Apartment,30,743.09,"$246,172.68",Sold,C0141,01-01-2024,246172.68,331.2824557
2016,2,01-01-2024,Apartment,16,701.66,"$212,265.67",Sold,C0146,01-01-2024,212265.67,302.5192686
2018,2,01-01-2024,Apartment,18,927.83,"$275,394.25",Sold,C0023,01-01-2024,275394.25,296.8154188
2029,2,01-01-2024,Apartment,29,1109.25,"$310,223.29",Sold,C0040,01-01-2024,310223.29,279.6694073
3006,3,01-01-2024,Apartment,6,1132.06,"$356,506.37",Sold,C0007,01-01-2024,356506.37,314.918264
3026,3,01-01-2024,Apartment,26,670.89,"$212,520.83",Sold,C0082,01-01-2024,212520.83,316.7744787
3031,3,01-01-2024,Apartment,31,1596.35,"$407,214.29",Sold,C0038,01-01-2024,407214.29,255.0908573
3035,3,01-01-2024,Apartment,35,781.07,"$269,278.57",Sold,C0107,01-01-2024,269278.57,344.7560014
4039,4,01-01-2024,Apartment,39,785.48,"$216,826.00",Available,,01-01-2024,216826,276.0426745
5015,5,01-01-2024,Apartment,15,798.5,"$237,680.88",Available,,01-01-2024,237680.88,297.659211
5033,5,01-01-2024,Apartment,33,798.28,"$240,539.35",Sold,C0049,01-01-2024,240539.35,301.3220299
5046,5,01-01-2024,Apartment,46,798.28,"$230,216.22",Sold,C0161,01-01-2024,230216.22,288.3903142
10005,1,01-01-2024,Apartment,1,748.06,"$222,435.93",Sold,C0396,01-01-2024,222435.93,297.3503863
10012,1,01-01-2024,Apartment,2,715.67,"$199,315.51",Sold,C1809,01-01-2024,199315.51,278.5019772
10021,1,01-01-2024,Apartment,3,788.73,"$285,972.38",Sold,C1508,01-01-2024,285972.38,362.5732253
10032,1,01-01-2024,Apartment,4,633.61,"$179,987.43",Sold,C1572,01-01-2024,179987.43,284.0665867
10035,1,01-01-2024,Apartment,4,633.61,"$166,623.12",Available,,01-01-2024,166623.12,262.9742586
10052,1,01-01-2024,Apartment,6,740.75,"$233,361.41",Available,,01-01-2024,233361.41,315.0339656
10105,1,01-01-2024,Office,13,719.47,"$211,336.04",Sold,C0628,01-01-2024,211336.04,293.738502
10108,1,01-01-2024,Apartment,14,1181.69,"$347,613.48",Sold,C0674,01-01-2024,347613.48,294.1663888
10155,1,01-01-2024,Apartment,20,1146.24,"$336,600.53",Sold,C0909,01-01-2024,336600.53,293.6562413
10168,1,01-01-2024,Apartment,21,1957.16,"$487,767.54",Sold,C0732,01-01-2024,487767.54,249.2221075
10179,1,01-01-2024,Office,22,740.83,"$232,423.05",Sold,C1956,01-01-2024,232423.05,313.7333126
10184,1,01-01-2024,Apartment,23,1201.5,"$322,459.21",Sold,C0760,01-01-2024,322459.21,268.3805327
10186,1,01-01-2024,Office,23,1201.5,"$399,122.68",Available,,01-01-2024,399122.68,332.1869996
10199,1,01-01-2024,Apartment,24,1146.11,"$328,475.64",Sold,C0661,01-01-2024,328475.64,286.6004485
10208,1,01-01-2024,Office,24,1146.11,"$347,062.19",Sold,C1813,01-01-2024,347062.19,302.8175219
10220,1,01-01-2024,Apartment,25,1154.92,"$372,242.47",Sold,C0431,01-01-2024,372242.47,322.3101773
10222,1,01-01-2024,Apartment,25,1154.92,"$384,462.57",Sold,C0054,01-01-2024,384462.57,332.8910834
10264,1,01-01-2024,Apartment,29,757.2,"$237,620.45",Sold,C1363,01-01-2024,237620.45,313.8146461
10284,1,01-01-2024,Apartment,30,753.29,"$261,991.10",Available,,01-01-2024,261991.1,347.7958024
10297,1,01-01-2024,Apartment,31,619.78,"$231,461.08",Sold,C1547,01-01-2024,231461.08,373.4568395
10333,1,01-01-2024,Apartment,35,1168.59,"$339,117.71",Sold,C0442,01-01-2024,339117.71,290.1939175
10335,1,01-01-2024,Apartment,36,613.59,"$165,522.54",Available,,01-01-2024,165522.54,269.7608175
20016,2,01-01-2024,Apartment,2,788.72,"$251,478.61",Sold,C1969,01-01-2024,251478.61,318.8439624
20040,2,01-01-2024,Apartment,4,1281.85,"$392,174.20",Available,,01-01-2024,392174.2,305.9439092
20061,2,01-01-2024,Apartment,8,715.54,"$188,979.30",Sold,C0429,01-01-2024,188979.3,264.1072477
20064,2,01-01-2024,Apartment,8,715.54,"$212,960.69",Sold,C1841,01-01-2024,212960.69,297.6223412
20067,2,01-01-2024,Apartment,8,715.54,"$184,000.39",Sold,C0116,01-01-2024,184000.39,257.1489924
20076,2,01-01-2024,Apartment,9,584.19,"$194,033.05",Sold,C1634,01-01-2024,194033.05,332.1403139
20079,2,01-01-2024,Apartment,9,584.19,"$184,956.85",Sold,C1632,01-01-2024,184956.85,316.6039302
20086,2,01-01-2024,Office,10,788.79,"$274,454.31",Available,,01-01-2024,274454.31,347.943445
20087,2,01-01-2024,Office,10,788.79,"$227,511.01",Sold,C1189,01-01-2024,227511.01,288.4303934
20100,2,01-01-2024,Apartment,11,1625.05,"$523,288.27",Sold,C0962,01-01-2024,523288.27,322.0136427
20102,2,01-01-2024,Apartment,11,1625.05,"$507,842.87",Sold,C0040,01-01-2024,507842.87,312.5090736
20143,2,01-01-2024,Apartment,17,1397.4,"$418,864.27",Sold,C0102,01-01-2024,418864.27,299.7454344
20174,2,01-01-2024,Apartment,20,727.55,"$223,964.08",Sold,C1168,01-01-2024,223964.08,307.8332486
20225,2,01-01-2024,Apartment,25,943.48,"$313,123.78",Sold,C1924,01-01-2024,313123.78,331.8817357
20231,2,01-01-2024,Apartment,26,1577.79,"$465,488.76",Sold,C1908,01-01-2024,465488.76,295.0258019
20232,2,01-01-2024,Apartment,26,1577.79,"$483,760.31",Sold,C0502,01-01-2024,483760.31,306.6062721
20234,2,01-01-2024,Apartment,26,1577.79,"$496,217.67",Sold,C1860,01-01-2024,496217.67,314.5017208
20250,2,01-01-2024,Apartment,28,650.67,"$201,554.99",Sold,C0533,01-01-2024,201554.99,309.7653035
20256,2,01-01-2024,Apartment,29,1107.33,"$362,974.97",Sold,C0791,01-01-2024,362974.97,327.7929524
20282,2,01-01-2024,Apartment,33,931.4,"$340,373.72",Sold,C0738,01-01-2024,340373.72,365.4431179
20286,2,01-01-2024,Apartment,33,931.4,"$344,306.60",Sold,C0173,01-01-2024,344306.6,369.6656646
20367,2,01-01-2024,Apartment,43,1118.94,"$337,252.59",Available,,01-01-2024,337252.59,301.4036409
20368,2,01-01-2024,Apartment,43,1118.94,"$311,723.42",Sold,C1310,01-01-2024,311723.42,278.5881459
20384,2,01-01-2024,Apartment,46,697.74,"$191,398.42",Sold,C1996,01-01-2024,191398.42,274.31195
20392,2,01-01-2024,Apartment,46,697.74,"$221,686.72",Available,,01-01-2024,221686.72,317.7210995
20421,2,01-01-2024,Apartment,47,708.32,"$199,377.29",Sold,C1839,01-01-2024,199377.29,281.4791196
20428,2,01-01-2024,Apartment,49,1617.9,"$485,657.59",Sold,C0427,01-01-2024,485657.59,300.1777551
20433,2,01-01-2024,Office,50,1604.8,"$535,383.27",Available,,01-01-2024,535383.27,333.6137026
20484,2,01-01-2024,Apartment,56,722.22,"$197,039.82",Sold,C0046,01-01-2024,197039.82,272.8252056
30016,3,01-01-2024,Apartment,1,689.75,"$231,937.37",Sold,C0374,01-01-2024,231937.37,336.2629503
30057,3,01-01-2024,Apartment,6,668.89,"$203,633.01",Sold,C0570,01-01-2024,203633.01,304.4342269
30066,3,01-01-2024,Apartment,7,744.01,"$163,682.20",Available,,01-01-2024,163682.2,220
30088,3,01-01-2024,Apartment,9,1125.84,"$314,372.82",Sold,C1977,01-01-2024,314372.82,279.2340119
30091,3,01-01-2024,Apartment,9,1125.84,"$361,782.84",Sold,C0182,01-01-2024,361782.84,321.3448092
30119,3,01-01-2024,Apartment,10,784.09,"$245,282.25",Sold,C1570,01-01-2024,245282.25,312.8241018
30190,3,01-01-2024,Apartment,20,802.97,"$227,392.48",Sold,C0532,01-01-2024,227392.48,283.1892599
30203,3,01-01-2024,Apartment,21,1122.15,"$375,891.04",Sold,C1932,01-01-2024,375891.04,334.9739696
30214,3,01-01-2024,Apartment,24,776.04,"$237,580.39",Sold,C0866,01-01-2024,237580.39,306.1445157
30223,3,01-01-2024,Apartment,25,765.56,"$208,271.84",Sold,C1802,01-01-2024,208271.84,272.0516223
30238,3,01-01-2024,Apartment,27,1117.14,"$331,813.63",Sold,C0006,01-01-2024,331813.63,297.020633
30257,3,01-01-2024,Apartment,28,679.93,"$199,964.39",Available,,01-01-2024,199964.39,294.095554
30298,3,01-01-2024,Apartment,36,733.45,"$255,632.56",Available,,01-01-2024,255632.56,348.5344059
30344,3,01-01-2024,Office,42,1343.96,"$384,762.61",Sold,C1567,01-01-2024,384762.61,286.2902244
30382,3,01-01-2024,Apartment,47,691.09,"$194,477.80",Sold,C0529,01-01-2024,194477.8,281.407342
30388,3,01-01-2024,Apartment,47,691.09,"$223,528.63",Sold,C1639,01-01-2024,223528.63,323.4435891
30415,3,01-01-2024,Apartment,49,1174.48,"$337,065.29",Sold,C0778,01-01-2024,337065.29,286.9910854
30427,3,01-01-2024,Apartment,49,1174.48,"$376,083.68",Sold,C1001,01-01-2024,376083.68,320.2129283
30439,3,01-01-2024,Apartment,51,693.85,"$221,020.03",Sold,C1698,01-01-2024,221020.03,318.5415147
30471,3,01-01-2024,Apartment,56,1179.42,"$375,142.73",Sold,C1312,01-01-2024,375142.73,318.0739092
30474,3,01-01-2024,Apartment,56,1179.42,"$353,361.50",Sold,C0437,01-01-2024,353361.5,299.6061624
30488,3,01-01-2024,Office,57,1607.94,"$532,909.35",Sold,C1012,01-01-2024,532909.35,331.4236539
30505,3,01-01-2024,Apartment,58,1588.14,"$442,306.09",Sold,C1652,01-01-2024,442306.09,278.50573
30506,3,01-01-2024,Apartment,58,1588.14,"$495,478.74",Sold,C1788,01-01-2024,495478.74,311.9868148
30508,3,01-01-2024,Apartment,59,1353.02,"$353,529.48",Sold,C1379,01-01-2024,353529.48,261.2891753
30511,3,01-01-2024,Apartment,59,1353.02,"$443,089.55",Sold,C1262,01-01-2024,443089.55,327.4818924
40008,4,01-01-2024,Apartment,1,1615.98,"$470,821.82",Sold,C1267,01-01-2024,470821.82,291.353742
40030,4,01-01-2024,Apartment,3,1630.82,"$495,465.48",Sold,C0699,01-01-2024,495465.48,303.8137133
40052,4,01-01-2024,Apartment,5,786.98,"$242,144.72",Sold,C0391,01-01-2024,242144.72,307.6885308
40092,4,01-01-2024,Office,12,789.38,"$253,171.59",Sold,C1972,01-01-2024,253171.59,320.722073
40102,4,01-01-2024,Apartment,13,809.06,"$241,164.92",Sold,C0979,01-01-2024,241164.92,298.0803896
40126,4,01-01-2024,Apartment,15,760.39,"$202,489.60",Sold,C1314,01-01-2024,202489.6,266.2970318
40142,4,01-01-2024,Apartment,17,780.68,"$242,054.22",Available,,01-01-2024,242054.22,310.0556182
40154,4,01-01-2024,Apartment,18,1294.91,"$330,997.32",Sold,C0195,01-01-2024,330997.32,255.6141508
40173,4,01-01-2024,Office,21,801.66,"$256,392.52",Sold,C0912,01-01-2024,256392.52,319.827009
40186,4,01-01-2024,Apartment,23,1110.99,"$363,974.20",Sold,C1488,01-01-2024,363974.2,327.6124898
40255,4,01-01-2024,Apartment,30,1307.35,"$399,943.02",Sold,C1304,01-01-2024,399943.02,305.9188588
40286,4,01-01-2024,Apartment,33,734.73,"$207,033.36",Sold,C1064,01-01-2024,207033.36,281.7815524
40347,4,01-01-2024,Apartment,41,779.87,"$198,773.78",Available,,01-01-2024,198773.78,254.8806596
40376,4,01-01-2024,Apartment,45,1160.48,"$373,889.70",Sold,C0490,01-01-2024,373889.7,322.1853888
40408,4,01-01-2024,Office,46,800.23,"$248,776.66",Sold,C1127,01-01-2024,248776.66,310.8814466
40410,4,01-01-2024,Apartment,47,805.88,"$216,571.38",Sold,C0036,01-01-2024,216571.38,268.7389934
40437,4,01-01-2024,Apartment,51,802.11,"$217,380.34",Sold,C0552,01-01-2024,217380.34,271.0106345
40439,4,01-01-2024,Office,51,802.11,"$232,641.21",Available,,01-01-2024,232641.21,290.0365411
50017,5,01-01-2024,Apartment,4,799.1,"$259,367.12",Sold,C1746,01-01-2024,259367.12,324.5740458
50023,5,01-01-2024,Apartment,4,799.1,"$266,288.33",Sold,C0454,01-01-2024,266288.33,333.2353022
50028,5,01-01-2024,Apartment,6,775.85,"$208,908.94",Available,,01-01-2024,208908.94,269.2646001
50064,5,01-01-2024,Apartment,9,793.56,"$227,070.24",Available,,01-01-2024,227070.24,286.141237
50076,5,01-01-2024,Apartment,10,629.27,"$194,958.35",Sold,C1749,01-01-2024,194958.35,309.8166924
50114,5,01-01-2024,Apartment,14,624.96,"$211,361.79",Sold,C1677,01-01-2024,211361.79,338.2005088
50154,5,01-01-2024,Apartment,20,804.84,"$231,233.66",Available,,01-01-2024,231233.66,287.3038865
50173,5,01-01-2024,Apartment,23,1006.65,"$269,137.96",Sold,C0642,01-01-2024,269137.96,267.3600159
50203,5,01-01-2024,Apartment,27,1278.6,"$366,303.84",Sold,C1862,01-01-2024,366303.84,286.4882215
50204,5,01-01-2024,Apartment,27,1278.6,"$396,653.03",Sold,C0250,01-01-2024,396653.03,310.2244877
50219,5,01-01-2024,Apartment,29,786.28,"$246,088.40",Available,,01-01-2024,246088.4,312.978074
50247,5,01-01-2024,Apartment,32,1051.39,"$340,611.95",Sold,C1967,01-01-2024,340611.95,323.9634674
50249,5,01-01-2024,Apartment,33,1787.13,"$503,642.95",Sold,C1588,01-01-2024,503642.95,281.8166278
50250,5,01-01-2024,Apartment,33,1787.13,"$499,753.60",Sold,C0227,01-01-2024,499753.6,279.6403172
50272,5,01-01-2024,Apartment,36,627.56,"$184,648.29",Available,,01-01-2024,184648.29,294.2320894
50293,5,01-01-2024,Apartment,39,591.14,"$165,812.56",Available,,01-01-2024,165812.56,280.4962615
50314,5,01-01-2024,Apartment,41,630.83,"$168,855.20",Sold,C0999,01-01-2024,168855.2,267.6714804
50330,5,01-01-2024,Apartment,42,791.2,"$212,618.56",Sold,C0290,01-01-2024,212618.56,268.7292214
50357,5,01-01-2024,Apartment,44,806.03,"$237,203.75",Available,,01-01-2024,237203.75,294.286503
50358,5,01-01-2024,Apartment,44,806.03,"$261,814.63",Sold,C0919,01-01-2024,261814.63,324.8199571
50370,5,01-01-2024,Apartment,45,608.89,"$192,992.54",Sold,C0780,01-01-2024,192992.54,316.9579727
60019,6,01-01-2024,Office,1,1720.95,"$580,829.46",Available,,01-01-2024,580829.46,337.5051338
60028,6,01-01-2024,Apartment,3,605.21,"$185,007.22",Sold,C1928,01-01-2024,185007.22,305.6909502
60039,6,01-01-2024,Apartment,4,1925.28,"$514,067.14",Sold,C1274,01-01-2024,514067.14,267.0090273
60054,6,01-01-2024,Apartment,5,1617.43,"$447,068.49",Sold,C0613,01-01-2024,447068.49,276.4067008
60058,6,01-01-2024,Apartment,5,1617.43,"$466,754.91",Available,,01-01-2024,466754.91,288.5781208
60080,6,01-01-2024,Apartment,7,1075.42,"$342,584.50",Available,,01-01-2024,342584.5,318.5587956
60088,6,01-01-2024,Apartment,7,1075.42,"$315,829.36",Sold,C1975,01-01-2024,315829.36,293.6800134
60131,6,01-01-2024,Apartment,10,942.08,"$255,614.83",Sold,C1695,01-01-2024,255614.83,271.3302798
60141,6,01-01-2024,Apartment,12,1678.17,"$455,861.82",Sold,C1710,01-01-2024,455861.82,271.6422174
60164,6,01-01-2024,Apartment,14,1890,"$494,576.31",Sold,C1470,01-01-2024,494576.31,261.6805873
60174,6,01-01-2024,Apartment,15,1392.45,"$407,106.37",Sold,C0715,01-01-2024,407106.37,292.3669575
60204,6,01-01-2024,Apartment,19,1542.71,"$451,237.67",Sold,C0159,01-01-2024,451237.67,292.4967557
60243,6,01-01-2024,Apartment,24,1159.75,"$343,592.86",Sold,C1452,01-01-2024,343592.86,296.2645915
60288,6,01-01-2024,Apartment,32,793.11,"$276,441.24",Sold,C1381,01-01-2024,276441.24,348.5534667
60416,6,01-01-2024,Apartment,50,1579.99,"$530,260.93",Available,,01-01-2024,530260.93,335.6103077
60469,6,01-01-2024,Apartment,55,562.37,"$166,043.13",Available,,01-01-2024,166043.13,295.2560236
70003,7,01-01-2024,Apartment,1,759.04,"$227,804.43",Sold,C1572,01-01-2024,227804.43,300.1217722
70062,7,01-01-2024,Apartment,10,1495.37,"$432,295.29",Sold,C1616,01-01-2024,432295.29,289.0891819
70079,7,01-01-2024,Apartment,12,804.65,"$250,417.22",Available,,01-01-2024,250417.22,311.2126018
70104,7,01-01-2024,Apartment,14,714.65,"$214,564.09",Sold,C0282,01-01-2024,214564.09,300.2366053
70138,7,01-01-2024,Apartment,16,1239.87,"$421,526.61",Sold,C0501,01-01-2024,421526.61,339.9764572
70157,7,01-01-2024,Apartment,19,751.07,"$223,691.45",Sold,C0200,01-01-2024,223691.45,297.830362
70217,7,01-01-2024,Apartment,24,852.99,"$260,906.28",Sold,C1459,01-01-2024,260906.28,305.8726128
70229,7,01-01-2024,Apartment,25,573.8,"$163,464.75",Sold,C0294,01-01-2024,163464.75,284.8810561
70231,7,01-01-2024,Apartment,25,573.8,"$159,778.30",Available,,01-01-2024,159778.3,278.4564308
70241,7,01-01-2024,Apartment,27,768.05,"$238,610.14",Available,,01-01-2024,238610.14,310.6700605
70249,7,01-01-2024,Office,28,694.55,"$222,809.93",Sold,C0950,01-01-2024,222809.93,320.797538
70277,7,01-01-2024,Apartment,32,1910.67,"$625,903.82",Sold,C1122,01-01-2024,625903.82,327.5834236
70361,7,01-01-2024,Apartment,42,702.08,"$190,215.58",Sold,C0179,01-01-2024,190215.58,270.9314893
70364,7,01-01-2024,Apartment,42,702.08,"$230,011.45",Available,,01-01-2024,230011.45,327.6143032
70498,7,01-01-2024,Apartment,58,1629.83,"$450,994.89",Sold,C0962,01-01-2024,450994.89,276.7128412
80028,8,01-01-2024,Apartment,4,1934.75,"$592,274.66",Sold,C0580,01-01-2024,592274.66,306.1246466
80047,8,01-01-2024,Apartment,5,887.23,"$252,418.74",Sold,C1761,01-01-2024,252418.74,284.5020344
80059,8,01-01-2024,Apartment,6,1370.17,"$382,048.18",Sold,C1168,01-01-2024,382048.18,278.832685
80089,8,01-01-2024,Apartment,9,1869.81,"$589,033.68",Sold,C0974,01-01-2024,589033.68,315.0232804
80099,8,01-01-2024,Apartment,12,1430.46,"$365,031.27",Available,,01-01-2024,365031.27,255.184535
80111,8,01-01-2024,Apartment,14,685.93,"$227,037.75",Sold,C1891,01-01-2024,227037.75,330.992594
80124,8,01-01-2024,Apartment,14,685.93,"$182,975.25",Sold,C1764,01-01-2024,182975.25,266.7549896
80147,8,01-01-2024,Office,18,1328.53,"$413,926.08",Sold,C1973,01-01-2024,413926.08,311.56698
80156,8,01-01-2024,Office,20,774.16,"$195,608.73",Sold,C1925,01-01-2024,195608.73,252.6722254
80173,8,01-01-2024,Apartment,23,1114.67,"$355,617.53",Available,,01-01-2024,355617.53,319.0339114
80179,8,01-01-2024,Apartment,25,1833.58,"$521,184.68",Sold,C0173,01-01-2024,521184.68,284.2443089
80188,8,01-01-2024,Apartment,26,1625.38,"$453,762.41",Sold,C0813,01-01-2024,453762.41,279.1731226
80271,8,01-01-2024,Apartment,33,1809.87,"$495,423.92",Available,,01-01-2024,495423.92,273.7345334
80282,8,01-01-2024,Apartment,33,1809.87,"$499,781.62",Sold,C1515,01-01-2024,499781.62,276.1422754
80303,8,01-01-2024,Apartment,35,529.26,"$151,756.68",Available,,01-01-2024,151756.68,286.7337037
80307,8,01-01-2024,Apartment,36,673.86,"$212,527.02",Sold,C1235,01-01-2024,212527.02,315.3874989
80312,8,01-01-2024,Apartment,36,673.86,"$204,867.41",Sold,C0848,01-01-2024,204867.41,304.0207313
80327,8,01-01-2024,Apartment,37,890.65,"$276,605.41",Sold,C0942,01-01-2024,276605.41,310.5657778
80339,8,01-01-2024,Apartment,37,890.65,"$195,943.00",Sold,C1940,01-01-2024,195943,220
80378,8,01-01-2024,Office,45,1185.72,"$342,306.80",Available,,01-01-2024,342306.8,288.6910906
80379,8,01-01-2024,Apartment,45,1185.72,"$364,629.72",Sold,C1844,01-01-2024,364629.72,307.517559
80396,8,01-01-2024,Apartment,46,1175.51,"$296,772.64",Sold,C0863,01-01-2024,296772.64,252.4628799
80402,8,01-01-2024,Apartment,46,1175.51,"$283,442.68",Sold,C1556,01-01-2024,283442.68,241.1231551
80418,8,01-01-2024,Apartment,48,480.99,"$140,920.90",Sold,C0071,01-01-2024,140920.9,292.9809352
80450,8,01-01-2024,Apartment,53,1891.72,"$543,193.60",Sold,C0806,01-01-2024,543193.6,287.1427061
80456,8,01-01-2024,Apartment,54,1699.02,"$543,500.27",Sold,C1880,01-01-2024,543500.27,319.8904486
80457,8,01-01-2024,Apartment,54,1699.02,"$503,618.69",Sold,C0998,01-01-2024,503618.69,296.417164
80462,8,01-01-2024,Apartment,55,1300.05,"$369,856.38",Available,,01-01-2024,369856.38,284.4939656
80465,8,01-01-2024,Apartment,55,1300.05,"$484,614.30",Sold,C1834,01-01-2024,484614.3,372.7658936
80468,8,01-01-2024,Apartment,55,1300.05,"$434,169.98",Sold,C0436,01-01-2024,434169.98,333.9640629
80469,8,01-01-2024,Office,55,1300.05,"$488,331.39",Sold,C0141,01-01-2024,488331.39,375.6250837
80476,8,01-01-2024,Apartment,56,1874.7,"$526,682.25",Sold,C0570,01-01-2024,526682.25,280.9421507
80484,8,01-01-2024,Apartment,56,1874.7,"$726,903.51",Sold,C1673,01-01-2024,726903.51,387.743911
80491,8,01-01-2024,Apartment,57,1949.35,"$609,563.43",Available,,01-01-2024,609563.43,312.7008644
90042,9,01-01-2024,Apartment,8,1315.55,"$455,857.85",Available,,01-01-2024,455857.85,346.5150317
90065,9,01-01-2024,Apartment,11,559.6,"$184,748.10",Available,,01-01-2024,184748.1,330.143138
90068,9,01-01-2024,Apartment,12,952.38,"$306,226.35",Sold,C0272,01-01-2024,306226.35,321.537989
90094,9,01-01-2024,Office,16,924.6,"$238,207.62",Sold,C1485,01-01-2024,238207.62,257.6331603
90129,9,01-01-2024,Apartment,20,1664.76,"$467,860.91",Sold,C0866,01-01-2024,467860.91,281.0380535
90145,9,01-01-2024,Apartment,22,1115.88,"$352,235.90",Sold,C0694,01-01-2024,352235.9,315.657508
90157,9,01-01-2024,Apartment,24,914.61,"$261,048.14",Sold,C0191,01-01-2024,261048.14,285.4201682
90166,9,01-01-2024,Apartment,26,1038.39,"$309,260.78",Sold,C0466,01-01-2024,309260.78,297.827194
90172,9,01-01-2024,Apartment,26,1038.39,"$289,396.65",Available,,01-01-2024,289396.65,278.6974547
90178,9,01-01-2024,Apartment,27,1207.33,"$381,557.37",Available,,01-01-2024,381557.37,316.0340338
90184,9,01-01-2024,Office,27,1207.33,"$380,937.24",Sold,C0084,01-01-2024,380937.24,315.5203962
90186,9,01-01-2024,Apartment,27,1207.33,"$355,852.39",Sold,C0201,01-01-2024,355852.39,294.7432682
90195,9,01-01-2024,Apartment,29,1426.22,"$426,817.45",Available,,01-01-2024,426817.45,299.2648049
90198,9,01-01-2024,Apartment,29,1426.22,"$353,758.33",Sold,C1814,01-01-2024,353758.33,248.0391034
90226,9,01-01-2024,Apartment,33,973.52,"$286,269.59",Sold,C0109,01-01-2024,286269.59,294.0561981
90240,9,01-01-2024,Apartment,34,1577.36,"$411,333.06",Sold,C1361,01-01-2024,411333.06,260.7731019
90260,9,01-01-2024,Apartment,34,1577.36,"$455,434.65",Available,,01-01-2024,455434.65,288.7322171
90276,9,01-01-2024,Apartment,35,1376.88,"$366,792.19",Sold,C0767,01-01-2024,366792.19,266.3937235
90359,9,01-01-2024,Apartment,42,605.78,"$197,381.31",Sold,C1884,01-01-2024,197381.31,325.8300208
90376,9,01-01-2024,Apartment,44,1351.57,"$364,019.33",Available,,01-01-2024,364019.33,269.3307265
90396,9,01-01-2024,Apartment,47,1262.78,"$383,070.84",Sold,C1268,01-01-2024,383070.84,303.3551688
90427,9,01-01-2024,Apartment,53,599.72,"$178,627.91",Sold,C0276,01-01-2024,178627.91,297.852181
90428,9,01-01-2024,Apartment,54,1693.18,"$500,160.52",Sold,C1245,01-01-2024,500160.52,295.3971344
90430,9,01-01-2024,Apartment,54,1693.18,"$555,003.81",Sold,C1267,01-01-2024,555003.81,327.7878371
90440,9,01-01-2024,Apartment,56,1516.4,"$453,127.52",Sold,C1070,01-01-2024,453127.52,298.8179372
90444,9,01-01-2024,Apartment,56,1516.4,"$429,681.10",Available,,01-01-2024,429681.1,283.3560406
90488,9,01-01-2024,Apartment,58,838.34,"$195,149.33",Available,,01-01-2024,195149.33,232.7806499
90501,9,01-01-2024,Apartment,58,838.34,"$236,365.70",Sold,C1345,01-01-2024,236365.7,281.944915
90511,9,01-01-2024,Apartment,58,838.34,"$191,641.45",Sold,C1952,01-01-2024,191641.45,228.5963332
100053,10,01-01-2024,Apartment,5,1741.96,"$500,277.62",Sold,C0822,01-01-2024,500277.62,287.1923695
100077,10,01-01-2024,Apartment,9,1849.4,"$539,103.37",Sold,C0224,01-01-2024,539103.37,291.5017681
100086,10,01-01-2024,Apartment,11,1675.44,"$521,136.09",Sold,C1068,01-01-2024,521136.09,311.0443167
100110,10,01-01-2024,Apartment,14,1318.01,"$344,813.48",Sold,C1458,01-01-2024,344813.48,261.6167404
100139,10,01-01-2024,Apartment,18,1244.03,"$349,877.50",Sold,C0876,01-01-2024,349877.5,281.2452272
100145,10,01-01-2024,Apartment,19,948.04,"$337,939.26",Available,,01-01-2024,337939.26,356.4609721
100154,10,01-01-2024,Apartment,19,948.04,"$246,873.77",Available,,01-01-2024,246873.77,260.4043817
100170,10,01-01-2024,Apartment,22,1116.68,"$330,051.37",Available,,01-01-2024,330051.37,295.5648619
100217,10,01-01-2024,Apartment,27,777.35,"$225,796.07",Sold,C0206,01-01-2024,225796.07,290.4689908
100230,10,01-01-2024,Apartment,28,1606.58,"$532,017.08",Sold,C0878,01-01-2024,532017.08,331.1488255
100231,10,01-01-2024,Apartment,28,1606.58,"$425,307.32",Available,,01-01-2024,425307.32,264.7283795
100260,10,01-01-2024,Office,31,1499,"$449,151.55",Sold,C0568,01-01-2024,449151.55,299.6341227
100311,10,01-01-2024,Apartment,37,1177.85,"$413,750.47",Sold,C1776,01-01-2024,413750.47,351.2760284
100318,10,01-01-2024,Apartment,38,476.64,"$159,970.07",Sold,C0938,01-01-2024,159970.07,335.6203214
100319,10,01-01-2024,Apartment,38,476.64,"$143,209.81",Sold,C1301,01-01-2024,143209.81,300.4569696
100320,10,01-01-2024,Apartment,38,476.64,"$156,338.43",Sold,C0797,01-01-2024,156338.43,328.00107
100327,10,01-01-2024,Apartment,39,1188.51,"$335,208.16",Available,,01-01-2024,335208.16,282.0406728
